epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,39.8968,1.50546,0.47769,1,1.31178,0.000369764,0.000369764,0.000369764
2,71.4215,1.29006,0.47615,1,1.22335,0.000725444,0.000725444,0.000725444
3,103.323,1.24479,0.52462,1,1.1242,0.00106646,0.00106646,0.00106646
4,134.984,1.16752,0.51769,1,1.08115,0.00104501,0.00104501,0.00104501
5,168.6,1.12464,0.56923,1,0.99712,0.00102301,0.00102301,0.00102301
6,200.556,1.07415,0.6,1,0.97209,0.00100101,0.00100101,0.00100101
7,233.207,1.04842,0.61846,1,0.94625,0.000979013,0.000979013,0.000979013
8,265.99,1.02075,0.61462,1,0.94576,0.000957015,0.000957015,0.000957015
9,299.865,0.99958,0.61769,1,0.91727,0.000935018,0.000935018,0.000935018
10,332.632,0.97341,0.62462,1,0.88747,0.00091302,0.00091302,0.00091302
11,364.538,0.96126,0.62846,1,0.84891,0.000891022,0.000891022,0.000891022
12,397.251,0.93969,0.65308,1,0.83945,0.000869024,0.000869024,0.000869024
13,428.483,0.92649,0.65231,1,0.83913,0.000847026,0.000847026,0.000847026
14,459.684,0.92771,0.66615,1,0.79836,0.000825029,0.000825029,0.000825029
15,489.858,0.89202,0.66769,1,0.80274,0.000803031,0.000803031,0.000803031
16,520.382,0.89517,0.68308,1,0.76369,0.000781033,0.000781033,0.000781033
17,551.139,0.86818,0.68615,1,0.76757,0.000759035,0.000759035,0.000759035
18,581.627,0.86119,0.68308,1,0.74839,0.000737037,0.000737037,0.000737037
19,612.286,0.84626,0.69,1,0.73546,0.00071504,0.00071504,0.00071504
20,643.011,0.84722,0.68538,1,0.74439,0.000693042,0.000693042,0.000693042
21,673.449,0.82029,0.70231,1,0.73034,0.000671044,0.000671044,0.000671044
22,704.418,0.822,0.71538,1,0.70538,0.000649046,0.000649046,0.000649046
23,737.054,0.80241,0.70846,1,0.69732,0.000627048,0.000627048,0.000627048
24,770.297,0.79708,0.71308,1,0.70301,0.000605051,0.000605051,0.000605051
25,805.182,0.78835,0.71154,1,0.70511,0.000583053,0.000583053,0.000583053
26,839.211,0.78004,0.70923,1,0.69374,0.000561055,0.000561055,0.000561055
27,871.778,0.76673,0.71538,1,0.68743,0.000539057,0.000539057,0.000539057
28,903.587,0.75361,0.71154,1,0.68434,0.000517059,0.000517059,0.000517059
29,936.609,0.75153,0.72846,1,0.65784,0.000495062,0.000495062,0.000495062
30,968.507,0.74354,0.73385,1,0.65915,0.000473064,0.000473064,0.000473064
31,1002.15,0.72961,0.73,1,0.65164,0.000451066,0.000451066,0.000451066
32,1034.1,0.72255,0.74,1,0.65184,0.000429068,0.000429068,0.000429068
33,1066.57,0.71336,0.72923,1,0.6429,0.00040707,0.00040707,0.00040707
34,1098.27,0.70091,0.73769,1,0.63652,0.000385073,0.000385073,0.000385073
35,1130.34,0.69825,0.74615,1,0.62928,0.000363075,0.000363075,0.000363075
36,1162.13,0.68777,0.75077,1,0.61067,0.000341077,0.000341077,0.000341077
37,1194.26,0.68739,0.76077,1,0.58878,0.000319079,0.000319079,0.000319079
38,1226,0.66904,0.75615,1,0.58873,0.000297081,0.000297081,0.000297081
39,1257.74,0.66037,0.75308,1,0.57628,0.000275084,0.000275084,0.000275084
40,1289.42,0.65611,0.75538,1,0.57719,0.000253086,0.000253086,0.000253086
41,1356.84,0.64313,0.75538,1,0.58251,0.000231088,0.000231088,0.000231088
42,1389.19,0.64535,0.76615,1,0.57156,0.00020909,0.00020909,0.00020909
43,1423.33,0.63081,0.76308,1,0.58021,0.000187092,0.000187092,0.000187092
44,1460.55,0.62656,0.76846,1,0.56875,0.000165095,0.000165095,0.000165095
45,1495.45,0.61681,0.77308,1,0.56192,0.000143097,0.000143097,0.000143097
46,1528.83,0.60092,0.76923,1,0.55573,0.000121099,0.000121099,0.000121099
47,1565.95,0.60727,0.77692,1,0.55138,9.91012e-05,9.91012e-05,9.91012e-05
48,1599.27,0.58829,0.77846,1,0.55949,7.71034e-05,7.71034e-05,7.71034e-05
49,1641.46,0.58452,0.77538,1,0.55386,5.51056e-05,5.51056e-05,5.51056e-05
50,1677,0.58169,0.77385,1,0.55305,3.31078e-05,3.31078e-05,3.31078e-05
