epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,43.6591,0.53319,0.84,1,0.33535,0.000553891,0.000553891,0.000553891
2,55.917,0.41222,0.895,1,0.23184,0.000999712,0.000999712,0.000999712
3,67.8506,0.34878,0.929,1,0.20388,0.00133551,0.00133551,0.00133551
4,79.3896,0.30645,0.939,1,0.15076,0.0011719,0.0011719,0.0011719
5,91.2226,0.25495,0.927,1,0.16954,0.00100687,0.00100687,0.00100687
6,103.373,0.23714,0.943,1,0.15134,0.000841835,0.000841835,0.000841835
7,115.049,0.21845,0.95,1,0.12975,0.000676802,0.000676802,0.000676802
8,126.169,0.19776,0.956,1,0.11275,0.000511769,0.000511769,0.000511769
9,138.43,0.19135,0.95,1,0.11109,0.000346736,0.000346736,0.000346736
10,150.22,0.16736,0.952,1,0.11423,0.000181703,0.000181703,0.000181703
